cluster,x.unit,tag_model,tag_serial_number,tag_sensor_type,tag_life,tagger,common_name,total_length_m,life_stage,sex,release_location,project,total_detections,days_at_liberty,days_monitored,days_detected,residency_max,residency_min,residency_ratio,residency_category,consecutive_days,highest_detection_month,artificial_reefs,n_reefs
1,teleost,V13AP-1X,1539792,Acc&Press,365,MF,Striped Bass,0.662,NA,U,NA,Southfork,0,0,0,0,0,0,0,None,0,0,NA,0
1,teleost,V13AP-1X,1539793,Acc&Press,365,FL,Striped Bass,0.595,NA,U,Great South Bay,Southfork,0,0,0,0,0,0,0,None,0,0,NA,0
1,teleost,V13AP-1X,1539794,Acc&Press,365,MF,Striped Bass,0.894,NA,U,Jones Beach,Southfork,0,0,0,0,0,0,0,None,0,0,NA,0
1,teleost,V13AP-1X,1539795,Acc&Press,365,FL,Striped Bass,0.772,NA,U,Great South Bay,Southfork,0,0,0,0,0,0,0,None,0,0,NA,0
1,teleost,V13AP-1X,1539796,Acc&Press,365,MF,Striped Bass,1.038,NA,U,NA,Southfork,0,0,0,0,0,0,0,None,0,0,NA,0
1,elasmobranch,V13-1X,1539797,None,1825,FL,Clearnose Skate,0.708,NA,U,Shinnecock Bay,Southfork,0,0,0,0,0,0,0,None,0,0,NA,0
1,teleost,V13AP-1X,1539798,Acc&Press,365,FL,Striped Bass,0.904,NA,U,Jones Beach,Southfork,0,0,0,0,0,0,0,None,0,0,NA,0
1,teleost,V13AP-1X,1539799,Acc&Press,365,MF,Striped Bass,1.05,NA,U,NA,Southfork,0,0,0,0,0,0,0,None,0,0,NA,0
2,teleost,V9-2X,1561914,None,895,JQ,Black Sea Bass,0.265,NA,U,Shinnecock Bay,Southfork,27884,15,9,15,1,1.666666667,1.666666667,Resident,15,10,Shinnecock,1
2,teleost,V9-2X,1561915,None,895,TE,Black Sea Bass,0.28,NA,U,Shinnecock Bay,Southfork,20397,18,9,18,1,2,2,Resident,18,10,Shinnecock,1
2,teleost,V9-2X,1561916,None,895,JQ,Black Sea Bass,0.244,NA,U,Shinnecock Bay,Southfork,30480,17,9,17,1,1.888888889,1.888888889,Resident,17,10,Shinnecock,1
2,teleost,V9-2X,1561917,None,895,TE,Black Sea Bass,0.3,NA,U,Shinnecock Bay,Southfork,21272,12,9,12,1,1.333333333,1.333333333,Resident,12,10,Shinnecock,1
2,teleost,V9-2X,1561918,None,895,JQ,Black Sea Bass,0.255,NA,U,Shinnecock Bay,Southfork,36111,20,9,20,1,2.222222222,2.222222222,Resident,20,10,Shinnecock,1
